TIME,TYPE,SUBJECT_ID,VALUE
1,Infections Observed,Albany Medical Center Hospital,27
1,Infections Observed,Albany Memorial Hospital,8
1,Infections Observed,St Peters Hospital,34
1,Infections Observed,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp,1
1,Infections Observed,Our Lady of Lourdes Memorial Hospital Inc,2
1,Infections Observed,United Health Services Hospitals Inc. - Wilson Medical Center,11
1,Infections Observed,Olean General Hospital,2
1,Infections Observed,Auburn Community Hospital,1
1,Infections Observed,Brooks Memorial Hospital,3
1,Infections Observed,Woman's Christian Association,0
1,Infections Observed,TLC Health Network Lake Shore Hospital,0
1,Infections Observed,Arnot Ogden Medical Center,26
1,Infections Observed,St Josephs Hospital,0
1,Infections Observed,Chenango Memorial Hospital Inc,1
1,Infections Observed,Champlain Valley Physicians Hospital Medical Center,12
1,Infections Observed,Columbia Memorial Hospital,2
1,Infections Observed,Cortland Regional Medical Center Inc,0
1,Infections Observed,Mid-Hudson Valley Division of Westchester Medical Center,4
1,Infections Observed,Vassar Brothers Medical Center,7
1,Infections Observed,Northern Dutchess Hospital,0
1,Infections Observed,Buffalo General Medical Center,55
1,Infections Observed,Women And Children's Hospital Of Buffalo,0
1,Infections Observed,Erie County Medical Center,7
1,Infections Observed,Mercy Hospital,21
1,Infections Observed,Millard Fillmore Hospital,7
1,Infections Observed,Roswell Park Cancer Institute,5
1,Infections Observed,Sisters of Charity Hospital,2
1,Infections Observed,University Hospital,10
1,Infections Observed,Kenmore Mercy Hospital,8
1,Infections Observed,Bertrand Chaffee Hospital,
1,Infections Observed,Sisters of Charity Hospital - St Joseph Campus,6
1,Infections Observed,Adirondack Medical Center-Saranac Lake Site,2
1,Infections Observed,Alice Hyde Medical Center,1
1,Infections Observed,Nathan Littauer Hospital,4
1,Infections Observed,United Memorial Medical Center North Street Campus,5
1,Infections Observed,Samaritan Medical Center,3
1,Infections Observed,Carthage Area Hospital Inc,
1,Infections Observed,Lewis County General Hospital,2
1,Infections Observed,Nicholas H Noyes Memorial Hospital,4
1,Infections Observed,Oneida Healthcare,5
1,Infections Observed,Community Memorial Hospital Inc,0
1,Infections Observed,Highland Hospital,20
1,Infections Observed,Rochester General Hospital,34
1,Infections Observed,Strong Memorial Hospital,41
1,Infections Observed,Lakeside Memorial Hospital,1
1,Infections Observed,The Unity Hospital of Rochester,6
1,Infections Observed,St. Mary's Healthcare,2
1,Infections Observed,Glen Cove Hospital,2
1,Infections Observed,Long Beach Medical Center,2
1,Infections Observed,Winthrop-University Hospital,31
1,Infections Observed,Mercy Medical Center,1
1,Infections Observed,Franklin Hospital,4
1,Infections Observed,South Nassau Communities Hospital,15
1,Infections Observed,Nassau University Medical Center,4
1,Infections Observed,North Shore University Hospital,47
1,Infections Observed,Syosset Hospital,2
1,Infections Observed,St. Joseph Hospital,1
1,Infections Observed,Plainview Hospital,8
1,Infections Observed,St Francis Hospital,49
1,Infections Observed,Eastern Niagara Hospital - Lockport Division,1
1,Infections Observed,Niagara Falls Memorial Medical Center,1
1,Infections Observed,Degraff Memorial Hospital,2
1,Infections Observed,Mount St Marys Hospital and Health Center,10
1,Infections Observed,Eastern Niagara Hospital - Newfane Division,1
1,Infections Observed,"Rome Memorial Hospital, Inc",5
1,Infections Observed,St Elizabeth Medical Center,8
1,Infections Observed,Faxton-St Lukes Healthcare St Lukes Division,2
1,Infections Observed,UPSTATE University Hospital at Community General,6
1,Infections Observed,St Josephs Hospital Health Center,37
1,Infections Observed,University Hospital SUNY Health Science Center,10
1,Infections Observed,Crouse Hospital,6
1,Infections Observed,Geneva General Hospital,1
1,Infections Observed,Clifton Springs Hospital and Clinic,7
1,Infections Observed,F F Thompson Hospital,1
1,Infections Observed,St Luke's Cornwall Hospital/Newburgh,3
1,Infections Observed,Orange Regional Medical Center,11
1,Infections Observed,St Anthony Community Hospital,1
1,Infections Observed,Bon Secours Community Hospital,2
1,Infections Observed,Medina Memorial Hospital,1
1,Infections Observed,Albert Lindley Lee Memorial Hospital,2
1,Infections Observed,Oswego Hospital,1
1,Infections Observed,Aurelia Osborn Fox Memorial Hospital,2
1,Infections Observed,Mary Imogene Bassett Hospital,18
1,Infections Observed,Putnam Hospital Center,1
1,Infections Observed,St. Mary's Hospital,5
1,Infections Observed,Samaritan Hospital,8
1,Infections Observed,Nyack Hospital,9
1,Infections Observed,Good Samaritan Hospital of Suffern,7
1,Infections Observed,Claxton-Hepburn Medical Center,2
1,Infections Observed,Massena Memorial Hospital,
1,Infections Observed,Gouverneur Hospital,
1,Infections Observed,Canton-Potsdam Hospital,2
1,Infections Observed,Saratoga Hospital,3
1,Infections Observed,Ellis Hospital,27
1,Infections Observed,Corning Hospital,1
1,Infections Observed,St James Mercy Hospital,2
1,Infections Observed,Brookhaven Memorial Hospital Medical Center Inc,6
1,Infections Observed,Southampton Hospital,2
1,Infections Observed,Eastern Long Island Hospital,1
1,Infections Observed,John T Mather Memorial Hospital of Port Jefferson New York Inc,10
1,Infections Observed,St Charles Hospital,4
1,Infections Observed,Huntington Hospital,12
1,Infections Observed,Southside Hospital,10
1,Infections Observed,Good Samaritan Hospital Medical Center,15
1,Infections Observed,Peconic Bay Medical Center,3
1,Infections Observed,St Catherine of Siena Hospital,0
1,Infections Observed,Catskill Regional Medical Center,2
1,Infections Observed,Cayuga Medical Center at Ithaca,7
1,Infections Observed,HealthAlliance Hospital Mary's Avenue Campus,1
1,Infections Observed,HealthAlliance Hospital Broadway Campus,0
1,Infections Observed,Glens Falls Hospital,9
1,Infections Observed,Newark-Wayne Community Hospital,0
1,Infections Observed,Hudson Valley Hospital Center,4
1,Infections Observed,White Plains Hospital Center,13
1,Infections Observed,Montefiore Mount Vernon Hospital,0
1,Infections Observed,Montefiore New Rochelle Hospital,6
1,Infections Observed,SJRH - St Johns Division,6
1,Infections Observed,St Joseph's Medical Center,1
1,Infections Observed,Northern Westchester Hospital,5
1,Infections Observed,Lawrence Hospital Center,2
1,Infections Observed,Phelps Memorial Hospital Assn,1
1,Infections Observed,Westchester Medical Center,24
1,Infections Observed,Wyoming County Community Hospital,2
1,Infections Observed,Jacobi Medical Center,8
1,Infections Observed,Montefiore Medical Center-Wakefield Hospital,2
1,Infections Observed,Montefiore Medical Center - Henry & Lucy Moses Div,28
1,Infections Observed,Lincoln Medical & Mental Health Center,3
1,Infections Observed,SBH Health System,2
1,Infections Observed,Bronx-Lebanon Hospital Center - Concourse Division,0
1,Infections Observed,Montefiore Medical Center - Montefiore Westchester Square,2
