TIME,TYPE,SUBJECT_ID,VALUE
0,County,Mount Sinai Hospital,New York
0,County,NYU Hospitals Center,New York
0,County,St Peters Hospital,Albany
0,Comparison,Albany Medical Center Hospital,Significantly higher than NYS 2013 average
0,Comparison,Albany Memorial Hospital,Not significantly different than NYS 2013 average
0,Comparison,St Peters Hospital,Significantly higher than NYS 2013 average
0,Comparison,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp,Not significantly different than NYS 2013 average
0,Comparison,Our Lady of Lourdes Memorial Hospital Inc,Not significantly different than NYS 2013 average
0,Comparison,United Health Services Hospitals Inc. - Wilson Medical Center,Not significantly different than NYS 2013 average
0,Comparison,Olean General Hospital,Not significantly different than NYS 2013 average
0,Comparison,Auburn Community Hospital,Not significantly different than NYS 2013 average
0,Comparison,Brooks Memorial Hospital,Not significantly different than NYS 2013 average
0,Comparison,Woman's Christian Association,Not significantly different than NYS 2013 average
0,Comparison,TLC Health Network Lake Shore Hospital,Not significantly different than NYS 2013 average
0,Comparison,Arnot Ogden Medical Center,Not significantly different than NYS 2013 average
0,Comparison,St Josephs Hospital,Not significantly different than NYS 2013 average
0,Comparison,Chenango Memorial Hospital Inc,Not significantly different than NYS 2013 average
0,Comparison,Champlain Valley Physicians Hospital Medical Center,Not significantly different than NYS 2013 average
0,Comparison,Columbia Memorial Hospital,Not significantly different than NYS 2013 average
0,Comparison,Cortland Regional Medical Center Inc,Not significantly different than NYS 2013 average
0,Comparison,Mid-Hudson Valley Division of Westchester Medical Center,Not significantly different than NYS 2013 average
0,Comparison,Vassar Brothers Medical Center,Significantly lower than NYS 2013 average
0,Comparison,Northern Dutchess Hospital,Not significantly different than NYS 2013 average
0,Comparison,Buffalo General Medical Center,Significantly higher than NYS 2013 average
0,Comparison,Women And Children's Hospital Of Buffalo,Not significantly different than NYS 2013 average
0,Comparison,Erie County Medical Center,Not significantly different than NYS 2013 average
0,Comparison,Mercy Hospital,Not significantly different than NYS 2013 average
0,Comparison,Roswell Park Cancer Institute,Not significantly different than NYS 2013 average
0,Comparison,Sisters of Charity Hospital,Not significantly different than NYS 2013 average
0,Comparison,University Hospital,Not significantly different than NYS 2013 average
0,Comparison,Kenmore Mercy Hospital,Not significantly different than NYS 2013 average
0,Comparison,Bertrand Chaffee Hospital,"Not compared, less than 20 procedures"
0,Comparison,Sisters of Charity Hospital - St Joseph Campus,Not significantly different than NYS 2013 average
0,Comparison,Adirondack Medical Center-Saranac Lake Site,Not significantly different than NYS 2013 average
0,Comparison,Alice Hyde Medical Center,Not significantly different than NYS 2013 average
0,Comparison,Nathan Littauer Hospital,Not significantly different than NYS 2013 average
0,Comparison,United Memorial Medical Center North Street Campus,Significantly higher than NYS 2013 average
0,Comparison,Samaritan Medical Center,Not significantly different than NYS 2013 average
0,Comparison,Carthage Area Hospital Inc,"Not compared, less than 20 procedures"
0,Comparison,Lewis County General Hospital,Not significantly different than NYS 2013 average
0,Comparison,Nicholas H Noyes Memorial Hospital,Not significantly different than NYS 2013 average
0,Comparison,Oneida Healthcare,Not significantly different than NYS 2013 average
0,Comparison,Community Memorial Hospital Inc,Not significantly different than NYS 2013 average
0,Comparison,Highland Hospital,Not significantly different than NYS 2013 average
0,Comparison,Rochester General Hospital,Not significantly different than NYS 2013 average
0,Comparison,Strong Memorial Hospital,Not significantly different than NYS 2013 average
0,Comparison,The Unity Hospital of Rochester,Not significantly different than NYS 2013 average
0,Comparison,St. Mary's Healthcare,Not significantly different than NYS 2013 average
0,Comparison,Glen Cove Hospital,Not significantly different than NYS 2013 average
0,Comparison,Winthrop-University Hospital,Significantly lower than NYS 2013 average
0,Comparison,Mercy Medical Center,Not significantly different than NYS 2013 average
0,Comparison,Franklin Hospital,Significantly lower than NYS 2013 average
0,Comparison,South Nassau Communities Hospital,Not significantly different than NYS 2013 average
0,Comparison,Nassau University Medical Center,Not significantly different than NYS 2013 average
0,Comparison,North Shore University Hospital,Significantly lower than NYS 2013 average
0,Comparison,Syosset Hospital,Not significantly different than NYS 2013 average
0,Comparison,St. Joseph Hospital,Not significantly different than NYS 2013 average
0,Comparison,Plainview Hospital,Not significantly different than NYS 2013 average
0,Comparison,St Francis Hospital,Not significantly different than NYS 2013 average
0,Comparison,Eastern Niagara Hospital - Lockport Division,Not significantly different than NYS 2013 average
